Session,Hemisphere,Neuron,LFP,EEG
bp019n01,none,0,0,1
bp020n02,none,0,0,1
bp024n03,none,0,0,1
bp025n01,none,0,0,1
bp028n01,none,0,0,1
bp029n03,none,0,0,1
bp030n02,none,0,0,1
bp031n02,none,0,0,1
bp032n03,none,0,0,1
bp033n03,none,0,0,1
bp034n03,none,0,0,1
bp036n05,none,0,0,1
bp038n03,none,0,0,1
bp039n01,none,0,0,1
bp042n01,none,0,0,1
bp046n03,none,0,0,1
bp049n01,none,0,0,1
bp053n03,none,0,0,1
bp051n03,none,0,0,1
bp056n02,none,0,0,1
bp057n02,none,0,0,1
bp058n02,none,0,0,1
bp205n01,both,1,1,0
bp210n01,none,0,0,0
bp211n01,none,0,0,0
bp212n01,none,0,0,0
bp213n01,none,0,0,0
bp214n01,none,0,0,0
bp215n01,none,0,0,0
bp216n01,left,1,1,0
bp217n01,left,1,1,0
bp218n01,left,1,1,0
bp219n01,none,0,0,0
bp220n01,left,1,1,0
bp221n01,left,1,1,0
bp222n01,left,1,1,0
bp223n01,left,1,1,0
bp224n01,left,1,1,0
bp225n01,left,1,1,0
bp226n01,left,1,1,0
bp227n01,left,1,1,0
bp228n01,left,1,1,0
bp229n01,left,1,1,0
bp230n01,left,1,1,0
bp231n01,left,1,1,0
bp233n01,left,1,1,0
bp234n01,left,1,1,0
bp235n01,left,1,1,0
bp236n01,left,1,1,0
bp237n01,left,1,1,0
bp238n01,left,1,1,0
bp239n01,left,1,1,0
bp240n01,left,1,1,0
bp241n01,left,1,1,0
bp242n01,left,1,1,0
bp243n01,left,1,1,0
bp244n01,left,1,1,0
bp245n01,left,1,1,0
bp246n01,left,1,1,0
bp247n01,left,1,1,0
