Session,Hemisphere,Neuron,LFP,EEG
bp016n01,none,0,0,1
bp018n01,none,0,0,1
bp019n03,none,0,0,1
bp020n03,none,0,0,1
bp021n01,none,0,0,1
bp023n03,none,0,0,1
bp024n01,none,0,0,1
bp024n01,none,0,0,1
bp026n01,none,0,0,1
bp029n01,none,0,0,1
bp030n04,none,0,0,1
bp032n01,none,0,0,1
bp033n01,none,0,0,1
bp034n01,none,0,0,1
bp035n01,none,0,0,1
bp036n03,none,0,0,1
bp038n01,none,0,0,1
bp039n03,none,0,0,1
bp041n01,none,0,0,1
bp042n03,none,0,0,1
bp044n03,none,0,0,1
bp045n01,none,0,0,1
bp046n01,none,0,0,1
bp047n01,none,0,0,1
bp049n03,none,0,0,1
bp050n01,none,0,0,1
bp051n01,none,0,0,1
bp055n01,none,0,0,1
bp057n01,none,0,0,1
bp058n03,none,0,0,1
bp059n01,none,0,0,1
bp061n01,none,0,0,1
bp068n01,none,0,0,1
bp069n01,none,0,0,1
bp084n01,right,1,1,1
bp085n01,right,1,1,1
bp087n01,right,1,1,1
bp088n01,right,1,1,1
bp089n01,right,1,1,1
bp090n01,right,1,1,1
bp091n01,right,1,1,1
bp092n02,right,1,1,1
bp093n01,right,1,1,1
bp096n01,right,1,1,1
bp097n01,right,1,1,1
bp099n01,left,1,1,1
bp111n01-pm,left,1,1,1
bp112n01,left,1,1,1
bp115n01,left,1,1,1
bp116n01,left,1,1,1
bp119n01,left,1,1,1
bp120n01,left,1,1,1
bp121n01,left,1,1,1
bp121n03,left,1,1,1
bp122n01,none,0,0,1
bp124n01,left,1,1,1
bp124n03,left,1,1,1
bp126n01,right,1,1,1
bp127n01,right,1,1,1
bp128n01,right,1,1,1
bp129n01,right,1,1,1
bp130n03-pm,right,1,1,1
bp131n01,right,1,1,1
bp132n01,right,1,1,1
bp136n01,none,0,0,1
bp136n01,none,0,0,1
bp137n01,none,0,0,1
bp138n01,none,0,0,1
bp139n01,none,0,0,1
bp140n01,none,0,0,1
bp141n01,none,0,0,1
bp142n01,none,0,0,1
bp143n01,none,0,0,1
bp144n01,none,0,0,1
bp145n01,none,0,0,1
bp146n01,none,0,0,1
bp149n01,none,0,0,1
bp150n02,none,0,0,1
bp152n01,none,0,0,1
bp153n01,left,1,1,1
bp156n01,right,1,1,0
bp157n01,none,0,0,1
bp158n01,right,1,1,1
bp159n01,right,1,1,1
bp159n02,right,1,1,1
bp161n01,none,0,0,1
bp162n01,right,1,1,1
bp163n01,right,1,1,1
bp164n02,right,1,1,1
bp166n01,right,1,1,1
bp167n01,right,1,1,1
bp168n01,right,1,1,1
bp169n01,none,0,0,1
bp170n01,none,0,0,1
bp172n01,none,0,0,1
bp173n01,none,0,0,1
bp174n01,none,0,0,1
bp175n01,none,0,0,1
bp176n01,none,0,0,1
bp177n01,none,0,0,1
bp178n01,none,0,0,1
bp179n01,none,0,0,1
bp180n01,none,0,0,1
bp181n01,none,0,0,1
bp182n01,none,0,0,1
bp183n01,none,0,0,1
bp184n01,none,0,0,1
bp185n01,none,0,0,1
bp186n01,none,0,0,1
bp187n01,none,0,0,1
bp188n01,none,0,0,1
bp189n01,none,0,0,1
bp191n01,left,1,1,0
bp192n01,left,1,1,0
bp193n01,both,1,1,0
bp194n01,left,1,1,0
bp195n01,left,1,1,0
bp195n03,left,1,1,0
bp196n01,left,1,1,0
bp197n01,left,1,1,0
bp198n01,right,1,1,0
bp199n01,right,1,1,0
bp200n01,right,1,1,0
bp201n01,right,1,1,0
bp204n01,both,1,1,0
